id,sdv,dpsi,spanr
ENSE00000332835_007,0,0.0440493094853744,0.3138
ENSE00000338771_002,1,-0.702978127316988,2.1768
ENSE00000338771_003,0,0.228068342866134,0.0627
ENSE00000338771_006,0,0.173610102275821,2.0878
ENSE00000338771_008,0,0.19233356872623,1.7493
ENSE00000338771_009,0,0.112498279549451,1.5528
ENSE00000338771_010,1,-0.659868004070559,1.7697
ENSE00000338771_012,0,0.0870710078566755,0.1892
ENSE00000338771_013,0,0.0870710078566756,0.2992
ENSE00000338771_014,0,0.151762808221056,4.0792
ENSE00000338771_016,0,0.0870710078566755,4.0748
ENSE00000338771_021,0,0.0909869534752437,2.6542
ENSE00000338771_022,0,0.063472878390445,0.3845
ENSE00000338771_023,0,0.0692154959035088,0.4459
ENSE00000373145_001,0,0.0156250490125369,0.09
ENSE00000373145_002,0,0.0155482439356912,0.3038
ENSE00000373145_003,0,0.000293431801842214,0.1711
ENSE00000373145_004,0,0.0157085941033709,0.5309
ENSE00000373145_005,0,0.0157085941033709,0.6155
ENSE00000373145_006,0,0.0125143815369001,0.3176
ENSE00000373145_008,0,0.0157085941033709,2.078
ENSE00000373145_009,0,0.011124723389063,0.9734
ENSE00000373145_010,0,-0.0176150686113347,0.281
ENSE00000373145_012,0,0.015621212465138,2.4969
ENSE00000373145_013,0,0.0155216040022799,1.9072
ENSE00000373145_015,0,0.00781917131584786,0.0859
ENSE00000373145_016,0,0.0111876591902839,0.2196
ENSE00000373145_018,0,0.0157085941033709,0.2113
ENSE00000373145_019,0,0.01562671737329,0.0754
ENSE00000373145_021,0,0.0157085941033709,0.0556
ENSE00000377990_001,0,-0.027479643651841,0.0182
ENSE00000377990_002,,NA,0.05
ENSE00000377990_003,0,-0.00111745056334622,0.0375
ENSE00000377990_004,0,-0.030377451587139,0.1055
ENSE00000377990_005,0,-0.174019400473243,0.7139
ENSE00000377990_006,0,-0.0782497477009231,0.8764
ENSE00000377990_007,0,-0.153344740451605,0.3517
ENSE00000377990_010,0,-0.00411161266502558,0.2922
ENSE00000377990_012,0,0.00143297136760767,0.0386
ENSE00000377990_014,0,-0.053848464062204,0.0281
ENSE00000377990_015,0,0.0162598757738969,0.0948
ENSE00000377990_016,0,-0.00887617774797339,0.0628
ENSE00000377990_017,0,0.0204506949424075,0.0105
ENSE00000377990_018,0,0.0052490048283339,0.0271
ENSE00000379229_001,0,0.0294143658371382,0.0866
ENSE00000379229_002,0,0.0289684182793523,0.0433
ENSE00000379229_003,0,0.0132930975172039,2.0241
ENSE00000379229_004,0,0.0316019587620386,0.8717
ENSE00000379229_005,0,0.0166232173444195,1.889
ENSE00000379229_006,0,0.032026567690343,3.6654
ENSE00000379229_007,0,0.0184564529696053,3.7792
ENSE00000379229_008,0,-0.0193404092036107,3.5329
ENSE00000379229_009,0,0.0299670713751095,2.3264
ENSE00000379229_011,0,-0.00808262598359821,0.7589
ENSE00000379229_012,0,0.032026567690343,0.8894
ENSE00000379229_014,0,0.0317068384089838,0.774
ENSE00000379234_001,0,0.0301666929910414,0.726
ENSE00000379234_003,0,0.0632081299345356,5.0011
ENSE00000379234_005,0,0.0545613401084614,3.7139
ENSE00000400053_001,0,-0.0156772798819156,0.6354
ENSE00000400053_002,0,0.126781199730303,1.7764
ENSE00000400053_003,0,-0.043302554881208,4.0262
ENSE00000400053_004,0,0.128309267157379,0.9115
ENSE00000400053_008,0,0.114244197474428,1.4797
ENSE00000400053_011,0,0.107287882706538,1.3091
ENSE00000400053_012,0,0.149711012513969,0.9383
ENSE00000400053_013,0,0.151439103752051,5.3616
ENSE00000400053_014,0,0.130549562383064,6.4293
ENSE00000400053_015,0,0.130323421014837,1.154
ENSE00000406138_001,0,0.0334251954703396,0.9847
ENSE00000406138_003,0,0.0329586342209031,1.7353
ENSE00000406138_006,0,0.033566782938197,4.6685
ENSE00000406138_007,0,0.0101900049521892,1.4138
ENSE00000406138_010,0,0.0326725672989621,4.5477
ENSE00000406138_012,0,0.0337793007405403,3.9685
ENSE00000406138_013,0,0.00877930074054029,4.3387
ENSE00000406138_014,0,-0.0399157116773904,6.2948
ENSE00000406871_001,0,0.0152459146313478,3.2795
ENSE00000406871_002,0,0.0135809995660331,1.4985
ENSE00000406871_003,0,0.0592658725054679,3.4553
ENSE00000406871_004,,NA,3.1513
ENSE00000406871_005,1,-0.917749320279826,3.7044
ENSE00000406871_006,1,-0.899329254904275,5.3661
ENSE00000406871_007,0,-0.128333100897352,0.015
ENSE00000406871_008,0,-0.0733510590815397,0.0834
ENSE00000406871_009,0,0.0487061521672797,0.0656
ENSE00000406871_010,0,0.0519589521686986,0.0511
ENSE00000406871_011,0,0.0163446507136282,0.0748
ENSE00000406871_012,0,-0.00116667147370475,0.0496
ENSE00000406871_013,1,-0.879929088265334,0.0448
ENSE00000406871_014,0,0.0704558747120786,0.0173
ENSE00000406871_015,0,-0.00552543400608335,0.1409
ENSE00000406871_016,0,0.0223063091466668,0.0434
ENSE00000406871_017,0,0.073524531307627,0.0044
ENSE00000406871_018,0,0.0258382431763238,0.0972
ENSE00000406871_019,0,-0.125931468529933,0.5497
ENSE00000406871_021,1,-0.919807654705962,0.1213
ENSE00000406871_022,0,-0.105973079131357,0.691
ENSE00000406871_024,0,0.0412060343912229,0.2296
ENSE00000411843_001,0,0.0262013387215417,0.7071
ENSE00000411843_003,0,0.017160306495295,9.3074
ENSE00000411843_006,0,0.0263476748208828,5.2081
ENSE00000411843_007,0,0.0256340968600118,0.4421
ENSE00000411843_008,0,-0.0505147655180437,3.5943
ENSE00000411843_009,0,0.0237143342304372,2.9476
ENSE00000411843_010,0,0.0105760045372474,1.7936
ENSE00000411843_011,0,0.0260026177654875,2.346
ENSE00000411843_012,0,0.0248538018284963,1.7712
ENSE00000411843_014,0,0.0209632606537595,2.571
ENSE00000411843_015,0,0.00119394610498935,3.4739
ENSE00000411843_016,0,0.0227563622823243,4.3718
ENSE00000411843_017,0,0.0246821954904768,0.7862
ENSE00000411843_018,0,0.027151208474128,2.2093
ENSE00000411843_021,0,-0.00907259734441562,0.8037
ENSE00000411843_022,0,0.0157275707081877,4.3233
ENSE00000411843_023,0,0.0235278098936606,6.9439
ENSE00000411843_024,0,-0.0552263470142329,4.65
ENSE00000411843_025,0,0.0241907961360679,1.071
ENSE00000411843_026,0,-0.173500302898396,3.6485
ENSE00000411843_027,0,0.0190121170805103,16.466
ENSE00000411843_028,0,-0.0166329652945009,18.6841
ENSE00000411843_029,1,-0.949184445630803,5.4183
ENSE00000411843_031,0,0.0280041963196392,0.0741
ENSE00000411843_032,0,0.0280041963196392,0.139
ENSE00000411843_034,0,0.0214530070559126,0.4151
ENSE00000412978_001,0,0.142307325016017,0.0296
ENSE00000412978_002,0,0.140265650918187,0.0304
ENSE00000412978_005,0,0.154540821521023,0.07
ENSE00000412978_006,0,0.147753416145758,0.0725
ENSE00000412978_007,0,-0.0261965808175091,0.3585
ENSE00000412978_008,0,0.0638649202772289,0.0422
ENSE00000412978_009,0,-0.0167433761514677,0.0135
ENSE00000430832_001,0,0.129480734369094,0.5366
ENSE00000430832_003,0,0.0344147515037135,3.529
ENSE00000430832_005,1,-0.798750745836191,1.8187
ENSE00000430832_007,1,-0.798163779997287,0.656
ENSE00000430832_010,1,-0.797739423460897,0.9168
ENSE00000430832_013,,NA,1.0724
ENSE00000430832_016,,NA,2.0134
ENSE00000430832_018,1,-0.794112136417952,71.4558
ENSE00000430832_021,1,-0.777300920353275,1.0176
ENSE00000430832_023,1,-0.798710606894525,1.0107
ENSE00000430832_024,1,-0.788638676367763,51.8996
ENSE00000430832_029,0,0.00124925416380878,0.2139
ENSE00000434370_011,0,0.0204480297569271,0.0976
ENSE00000434370_017,0,0.0204480297569271,0.5278
ENSE00000434370_025,0,0.00127246723495833,0.4336
ENSE00000436145_001,0,0.0901486277302408,5.5707
ENSE00000436145_003,0,0.0898057503279369,0.5049
ENSE00000436145_004,0,0.0877167607538289,1.0887
ENSE00000436145_006,0,0.0897644925581457,0.1194
ENSE00000436145_007,0,0.0909434995958022,1.0373
ENSE00000436145_008,0,0.0858251892748473,0.047
ENSE00000436145_009,0,0.0908756212782199,0.1944
ENSE00000436145_011,0,0.090463864788676,0.0632
ENSE00000502777_001,1,-0.903074274341112,0.0884
ENSE00000502777_006,0,0.0962547960258711,0.4104
ENSE00000502777_007,0,0.0968143941809158,0.4903
ENSE00000502777_008,0,0.0969257256588885,0.6704
ENSE00000502777_009,0,0.095792426828771,0.1388
ENSE00000502777_010,0,0.0946547444066186,0.4902
ENSE00000502777_013,0,0.0969257256588885,0.4206
ENSE00000502777_015,0,0.095812597925464,0.102
ENSE00000502777_016,0,0.0969257256588885,0.1605
ENSE00000502777_017,0,0.089326149705686,0.3846
ENSE00000502777_018,0,0.096070742845989,0.9376
ENSE00000502777_022,0,0.0869883660753046,0.1247
ENSE00000502777_024,0,0.0758834833125605,0.1777
ENSE00000521581_003,0,-0.0134566119695902,11.9678
ENSE00000522305_012,0,0,0.6267
ENSE00000522305_016,0,0,0.4768
ENSE00000525807_001,0,0.0825666470368617,2.2267
ENSE00000525807_003,0,0.173916528887956,1.5146
ENSE00000525807_004,0,0.0402978313915919,0.2467
ENSE00000525807_005,1,-0.753319127180893,1.4985
ENSE00000525807_006,0,0.100227905285079,0.9369
ENSE00000525807_009,1,-0.551194089401543,0.2558
ENSE00000525807_010,0,-0.00304338787368297,1.1082
ENSE00000525807_012,0,0.0050719879559577,2.1397
ENSE00000525807_014,1,-0.758130547603513,0.8714
ENSE00000525807_015,0,0.0719502616450218,2.7107
ENSE00000525807_016,0,-0.0268108219462475,2.2228
ENSE00000525807_017,0,0.0322041750041472,0.1735
ENSE00000535552_001,,NA,1.8444
ENSE00000535552_002,0,0.12680038431989,1.3242
ENSE00000535552_003,,NA,2.0311
ENSE00000535552_004,0,0.126695202024272,21.4906
ENSE00000535552_005,0,0.126767810049167,49.1433
ENSE00000535552_006,0,0.0916143137246567,42.053
ENSE00000535552_009,0,0.0688875637082407,4.9717
ENSE00000535552_010,0,-0.0979889853798626,2.9035
ENSE00000535552_011,0,0.126332758233098,4.547
ENSE00000535552_012,0,0.039177981898973,2.5082
ENSE00000535552_013,0,0.120890141369797,1.6255
ENSE00000535552_014,,NA,5.7866
